,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,251,11750000000.000082,0.10322033687598106,0.10321924482745272,3.5451933328659644,5.338408683390096,-2.7535065771951883,-2.0,-1.976205,12.50637,20.518318,20.198427,19.775902,16.918556,17.568754,16.224606,16.213799,12.310354,16.743774,16.257967,15.670349,16.347958,15.709126,14.702238,13.794718,13.710252,13.810606,13.430552,13.193838,13.833985,12.863133,13.011709,11.31627,12.397112,12.083316,12.063349,12.033109,11.902064,11.320281,11.614249,11.619322,11.653747,11.650618,11.648831,11.577613,11.141154,11.137716,10.99523,10.802917,10.627964,10.45624,10.474661,10.307026,10.103395,9.86713,9.830523,9.779542,9.700603,9.744956,9.717964,9.60286,9.59073,9.313449,9.311898,9.087595,9.118897,0.0
1,1,252,11750000000.000082,0.10528391059826028,0.10528276881911372,3.547116817532383,5.3322488960118335,-2.7323854211254552,-2.0,-1.976101,12.450336,20.435768,20.126118,19.630951,16.840252,17.462875,16.119514,16.10165,12.254604,16.595093,16.139153,15.560829,16.229975,15.599373,14.619644,13.726263,13.645821,13.738793,13.361968,13.127771,13.752721,12.798719,12.945171,11.264127,12.334097,12.020285,12.001403,11.968309,11.844026,11.268272,11.561694,11.565609,11.601824,11.594471,11.586941,11.521163,11.089819,11.086319,10.944818,10.753017,10.579148,10.407924,10.426419,10.259599,10.05752,9.82276,9.786455,9.735748,9.656921,9.701591,9.674889,9.559824,9.548265,9.273017,9.271584,9.048843,9.080184,0.0
2,2,253,11750000000.000082,0.10856913667212914,0.10856791180701078,3.5501801132884774,5.322425573893474,-2.698739117676606,-2.0,-1.975929,12.359372,20.304161,20.0014,19.393772,16.713417,17.293818,15.952726,15.925084,12.164062,16.364418,15.95508,15.389254,16.047407,15.427007,14.487588,13.615604,13.540613,13.623648,13.252224,13.020996,13.62433,12.695431,12.838653,11.179188,12.23306,11.919454,11.902082,11.86479,11.750052,11.183092,11.475751,11.478004,11.516797,11.503379,11.487678,11.429644,11.006682,11.003098,10.863249,10.672415,10.500447,10.330115,10.348864,10.183589,9.983849,9.751382,9.715548,9.665254,9.586594,9.631757,9.605495,9.490537,9.479882,9.207952,9.206734,8.986856,9.018338,0.0
3,3,254,11750000000.000082,0.11170943602841218,0.11170812657918514,3.5531089646675653,5.313015024630657,-2.6665537714605314,-2.0,-1.975848,12.270512,20.177782,19.871832,19.161495,16.589914,17.131859,15.793995,15.75864,12.075577,16.151222,15.784784,15.228557,15.878655,15.265155,14.360871,13.508001,13.437139,13.512738,13.146722,12.917209,13.502756,12.595854,12.736196,11.095981,12.135751,11.822589,11.80644,11.765578,11.658566,11.099078,11.391111,11.391935,11.432882,11.414508,11.392179,11.340447,10.925648,10.921986,10.783836,10.594102,10.424156,10.254791,10.273918,10.110371,9.912719,9.68232,9.646917,9.596991,9.518476,9.564095,9.53823,9.423413,9.413599,9.14475,9.143879,8.927104,8.958807,0.0
4,4,255,11750000000.000082,0.11471677638643296,0.11471538092336483,3.555914454386216,5.303982978379065,-2.635708633522108,-2.0,-1.975677,12.183858,20.055862,19.739132,18.935844,16.469841,16.976664,15.642731,15.601379,11.98926,15.954403,15.626116,15.077711,15.721582,15.112912,14.239263,13.40348,13.335631,13.405903,13.045234,12.816439,13.387427,12.49979,12.637589,11.014717,12.042042,11.729508,11.714359,11.670525,11.569656,11.016494,11.308005,11.307595,11.350369,11.327998,11.300426,11.253712,10.84675,10.843011,10.706595,10.518064,10.350237,10.181894,10.201492,10.03978,9.844007,9.615475,9.580468,9.530869,9.452481,9.498519,9.473006,9.358362,9.349318,9.083272,9.082678,8.869319,8.901306,0.0
5,5,256,11750000000.000082,0.11786446895431368,0.11786297706619832,3.5588517311135472,5.2944902226985375,-2.6033813609033705,-2.0,-1.975491,12.091709,19.926792,19.592104,18.697941,16.342453,16.814211,15.48515,15.438845,11.897445,15.755249,15.463566,14.92276,15.560223,14.956265,14.111771,13.292669,13.227117,13.293465,12.938536,12.70966,13.26766,12.398515,12.533884,10.928248,11.943482,11.631805,11.617553,11.571076,11.475428,10.928085,11.219113,11.217537,11.262028,11.2362,11.204237,11.161774,10.762944,10.759121,10.624609,10.437478,10.272047,10.104864,10.125041,9.965375,9.771475,9.544785,9.510176,9.460894,9.382627,9.429085,9.40391,9.289474,9.281194,9.01795,9.017657,8.808114,8.840461,0.0
6,6,257,11750000000.000082,0.12117905381085728,0.12117745437613414,3.5619460369769973,5.284464343812916,-2.5693051059542364,-2.0,-1.975195,11.993447,19.788763,19.4296,18.447538,16.206762,16.643353,15.320118,15.269831,11.799523,15.551723,15.296508,14.762544,15.394122,14.794077,13.977472,13.174756,13.110862,13.174559,12.8258,12.596102,13.142436,12.291223,12.424288,10.836061,11.839379,11.528805,11.515367,11.466608,11.375282,10.833299,11.12386,11.121186,11.167313,11.13856,11.103061,11.06409,10.673639,10.669737,10.537281,10.351745,10.189014,10.023142,10.04398,9.886519,9.694536,9.469683,9.435475,9.386503,9.308352,9.355234,9.33038,9.216188,9.208659,8.948206,8.948236,8.742741,8.775508,0.0
7,7,258,11750000000.000082,0.12434377500191852,0.12434206626731578,3.564901365589799,5.2748588225585085,-2.5367329114847528,-2.0,-1.975081,11.898817,19.654305,19.26833,18.21022,16.075966,16.480495,15.163373,15.110225,11.705217,15.362664,15.140005,14.611847,15.238127,14.641375,13.849263,13.06127,12.998497,13.06061,12.717854,12.486876,13.023343,12.188269,12.319351,10.747348,11.739815,11.430472,11.417725,11.36721,11.279122,10.741679,11.031822,11.028225,11.075794,11.044783,11.006741,10.970359,10.587667,10.583685,10.453195,10.269257,10.109244,9.944688,9.96616,9.810751,9.62061,9.397437,9.363605,9.31491,9.236859,9.284131,9.259555,9.145605,9.138741,8.88081,8.881159,8.679283,8.712468,0.0
8,8,259,11750000000.000082,0.12746503279742005,0.1274632090699166,3.5678170197043575,5.265342673412928,-2.5045618654848,-2.0,-1.974781,11.80517,19.518589,19.105019,17.979689,15.946099,16.320305,15.009578,14.954163,11.611901,15.180571,14.987473,14.464777,15.085569,14.49227,13.72296,12.948899,12.88708,12.94799,12.611246,12.378782,12.906042,12.086443,12.215752,10.65966,11.64167,11.333701,11.321584,11.269673,11.184187,10.65089,10.940616,10.936162,10.985092,10.952239,10.912237,10.877926,10.50256,10.498496,10.369902,10.187558,10.030319,9.867105,9.88915,9.735599,9.547348,9.325824,9.292353,9.243918,9.165964,9.2136,9.189281,9.075587,9.069324,8.813748,8.814416,8.615993,8.649598,0.0
9,9,260,11750000000.000082,0.13080135055750328,0.130799395398863,3.570934877841183,5.2551093326910285,-2.470107438668804,-2.0,-1.97464,11.705212,19.369263,18.92728,17.738586,15.806536,16.149498,14.845894,14.788298,11.512321,14.989515,14.824971,14.308292,14.921722,14.333586,13.588074,12.828642,12.768091,12.827366,12.497175,12.263165,12.780163,11.977426,12.104976,10.566202,11.536951,11.23062,11.21916,11.166004,11.083026,10.554014,10.84327,10.837981,10.888321,10.853743,10.811872,10.77959,10.411624,10.407478,10.280802,10.100114,9.945892,9.784134,9.806664,9.654778,9.468719,9.248983,9.215919,9.167757,9.089891,9.137933,9.11385,9.000422,8.994775,8.741623,8.742616,8.547654,8.581682,0.0
